gene_short_name	logFC	t	P.Value	adj.P.Val	B
Tmem178b	-6.7833507614	-17.3221470173	0.0002071994	0.0002071994	0.8693482783
Arhgap1	0.3018025546	16.9813605648	0.0002214027	0.0002214027	0.7848332448
Rnf25	0.5761282203	16.9672390405	0.0002220181	0.0002220181	0.7812943647
Acox1	2.0587143481	16.5008990886	0.0002436448	0.0002436448	0.6627347491
Ptgr1	0.6836989659	16.1082928973	0.0002640097	0.0002640097	0.5602846665
Hadha	1.1136720104	16.0407907701	0.0002677304	0.0002677304	0.5424184801
Dyrk2	-0.5769414286	-16.0135911822	0.0002692488	0.0002692488	0.535198138
Dram1	1.290024245	15.903485476	0.0002755105	0.0002755105	0.5058438911
Ost4	0.351808993	15.7142811538	0.0002867174	0.0002867174	0.4549243926
Flii	0.2998345481	15.6860696336	0.0002884387	0.0002884387	0.4472795849
Nipsnap3b	0.2107381648	15.5962097714	0.0002940111	0.0002940111	0.4228374357
Col27a1	-1.8519076362	-15.5688532276	0.0002957351	0.0002957351	0.4153684771
Ric8a	0.7522019818	15.4502771498	0.000303361	0.000303361	0.3828425199
Cpt2	1.3015024124	15.4421132319	0.0003038953	0.0003038953	0.3805939747
Ccdc104	0.5010287245	15.344560009	0.0003103756	0.0003103756	0.3536334075
Nif3l1	0.7459761294	15.3407645181	0.0003106313	0.0003106313	0.3525810095
Alad	-0.3246138445	-15.1377005782	0.0003247197	0.0003247197	0.2958951434
Dcaf12	5.0610226305	15.0626460601	0.0003301357	0.0003301357	0.2747518409
Serpind1	-0.4679284166	-14.8426519237	0.0003466988	0.0003466988	0.2121698024
Maoa	0.4055826822	14.7518896394	0.0003538451	0.0003538451	0.1860818342
Acsl1	0.915355114	14.6759480999	0.0003599715	0.0003599715	0.1641312245
Pdk4	2.7002817447	14.6724832129	0.0003602543	0.0003602543	0.1631270285
Eif2ak1	0.2425953669	14.5358659901	0.0003716367	0.0003716367	0.1233441138
Dennd6a	0.6591876297	14.3291030882	0.000389764	0.000389764	0.0624252244
Aldh3a2	0.7385616133	14.0915307093	0.0004120298	0.0004120298	-0.0086531871
Blvra	0.2807014579	14.0050592895	0.0004205413	0.0004205413	-0.034818269
Pex16	0.7229186503	13.9978615993	0.00042126	0.00042126	-0.0370033716
Pet100	0.2159840317	13.9957180777	0.0004214743	0.0004214743	-0.0376543242
Eme1	-2.3282545711	-13.9656216115	0.0004244987	0.0004244987	-0.0468045264
Man1a2	-0.7155037895	-13.9493334731	0.0004261472	0.0004261472	-0.0517647058
Col26a1	4.670443648	13.8638063685	0.0004349404	0.0004349404	-0.0779040692
Metap1	0.348725207	13.8328573334	0.0004381801	0.0004381801	-0.0874020836
Plcl2	-0.2979942929	-13.6752286408	0.0004551733	0.0004551733	-0.1361040625
G6pc3	0.8449636045	13.6069739396	0.0004627957	0.0004627957	-0.1573640635
Baat	-0.3378344372	-13.6042077003	0.0004631081	0.0004631081	-0.1582279022
Ly96	-0.6898458484	-13.589087824	0.0004648204	0.0004648204	-0.1629525767
Abcc3	3.248482768	13.5240655085	0.0004722781	0.0004722781	-0.1833298769
Slc35d2	1.3554430118	13.431753336	0.0004831336	0.0004831336	-0.2124254512
Pm20d1	-0.461606843	-13.4180505852	0.0004847723	0.0004847723	-0.2167611044
Art2b	1.6380682618	13.4043765186	0.0004864149	0.0004864149	-0.2210920164
Metap1d	0.7152696756	13.2794681149	0.0005017569	0.0005017569	-0.2608554308
Hspb11	0.574974336	13.2361219842	0.0005072268	0.0005072268	-0.2747400398
Hmgcl	0.7869762873	13.206731346	0.0005109796	0.0005109796	-0.2841798097
Hsd17b10	0.5544646823	13.2013424507	0.0005116716	0.0005116716	-0.2859128636
Tefm	0.5801791869	13.1049432968	0.0005242571	0.0005242571	-0.3170322005
Uqcc1	0.4978427273	13.0844256833	0.0005269873	0.0005269873	-0.3236845712
Pmm1	0.9161448988	12.9840526898	0.0005406116	0.0005406116	-0.3563760694
Pld1	-0.8283338047	-12.9450342126	0.0005460306	0.0005460306	-0.3691511628
Pon1	-0.6220866117	-12.8850787196	0.0005544949	0.0005544949	-0.3888548213
Etv6	-1.6377449973	-12.8391625159	0.0005610922	0.0005610922	-0.4040053071
Ppp2r2c	2.7706405333	12.8057661437	0.0005659544	0.0005659544	-0.4150580379
Elovl5	-0.2644403285	-12.6836717938	0.0005842004	0.0005842004	-0.4557067828
Stard10	0.2124111721	12.6699707693	0.0005862951	0.0005862951	-0.460292053
Ifi44	0.5638453974	12.65420334	0.0005887177	0.0005887177	-0.4655748674
Fat4	-0.7580026458	-12.6529262394	0.0005889145	0.0005889145	-0.4660030359
Pdhx	0.6079685359	12.6368750823	0.0005913951	0.0005913951	-0.4713880394
RGD1307947	0.4529844861	12.6182528838	0.0005942899	0.0005942899	-0.4776439643
Flot2	0.7430128116	12.5740611475	0.0006012332	0.0006012332	-0.4925257876
Atp5c1	0.1677098023	12.4345997164	0.0006238439	0.0006238439	-0.5398265759
Arl8a	0.6709904328	12.434487833	0.0006238625	0.0006238625	-0.5398647301
Anapc2	0.5123671707	12.4265205132	0.0006251872	0.0006251872	-0.5425825818
Arih2	0.2006383673	12.4175421222	0.0006266844	0.0006266844	-0.5456473679
Sgms1	0.7928431017	12.3148095049	0.0006441495	0.0006441495	-0.5808695347
Cd276	1.4415011852	12.2942805636	0.0006477146	0.0006477146	-0.5879421755
Cnpy2	0.6992215452	12.2931435127	0.0006479129	0.0006479129	-0.5883342482
Suclg1	0.6295318671	12.2745075762	0.0006511726	0.0006511726	-0.5947652338
Ndufab1	0.3491289382	12.2269907599	0.0006595806	0.0006595806	-0.6112056091
Adtrp	0.6226744051	12.2176915395	0.0006612425	0.0006612425	-0.6144303122
H2afv	-2.0057852131	-12.1609561973	0.0006714996	0.0006714996	-0.6341562752
Apoa4	-4.1044914451	-12.1130101525	0.0006803284	0.0006803284	-0.6508961016
Slc25a38	-0.60306562	-12.0564666392	0.000690934	0.000690934	-0.6707204321
Gpd1	1.3916667985	12.04383228	0.0006933329	0.0006933329	-0.6751623987
LOC498265	1.581790489	12.0228511078	0.0006973404	0.0006973404	-0.6825489122
Atp2a2	-0.2758194198	-12.0039717659	0.0007009721	0.0007009721	-0.6892061535
Ebi3	-3.1749781282	-11.9222075874	0.0007169854	0.0007169854	-0.7181554591
Gja4	-0.6345758224	-11.781955115	0.0007455705	0.0007455705	-0.7682635594
Emp2	-0.6470257074	-11.7164887856	0.0007594173	0.0007594173	-0.7918505382
Acadvl	0.6284343315	11.6974745498	0.0007635011	0.0007635011	-0.7987250777
Fcrl2	4.2706308365	11.6863970693	0.0007658934	0.0007658934	-0.8027350849
Lias	0.4914460713	11.6745367477	0.0007684654	0.0007684654	-0.8070325491
Mlycd	0.5591808447	11.6703808918	0.0007693693	0.0007693693	-0.8085393777
Mmd2	-3.9505695994	-11.6555276045	0.0007726111	0.0007726111	-0.8139291154
Cyp1a2	-1.4712763104	-11.6361179543	0.0007768739	0.0007768739	-0.8209822006
Trim3	0.5300015094	11.6237358564	0.0007796092	0.0007796092	-0.8254875471
Gucy1a3	-0.6649861316	-11.556579714	0.0007946632	0.0007946632	-0.850003924
Colq	5.3815144451	11.5556404376	0.0007948764	0.0007948764	-0.8503477948
Nudt18	0.4148391772	11.4887552587	0.0008102499	0.0008102499	-0.8749041307
Pank1	1.2989273062	11.4874382507	0.0008105565	0.0008105565	-0.8753890414
Tex36	3.844960088	11.4668720674	0.000815363	0.000815363	-0.8829682857
Hspa9	0.4163779873	11.4232867073	0.0008256716	0.0008256716	-0.8990741543
Ier2	-1.199022324	-11.3660728692	0.0008394604	0.0008394604	-0.9203061391
Cnn3	0.2727048369	11.3610901099	0.0008406752	0.0008406752	-0.9221601019
Acaa2	1.5543354297	11.2903237364	0.000858177	0.000858177	-0.9485753234
Dnaja2	0.2689280669	11.2620998351	0.0008652883	0.0008652883	-0.9591550008
Ugcg	1.448946439	11.2599673089	0.0008658287	0.0008658287	-0.9599554097
Gnai1	0.9642301699	11.2094447809	0.00087876	0.00087876	-0.9789609469
Chac2	-0.4992536703	-11.1182311787	0.0009027441	0.0009027441	-1.0134829315
Rbl2	-0.5177090944	-11.112590728	0.0009042548	0.0009042548	-1.0156266115
Ech1	2.4797719529	11.0939105693	0.0009092813	0.0009092813	-1.0227335556
Slc25a20	0.989881645	11.0690877605	0.0009160167	0.0009160167	-1.0321952792
Faah	-0.3252847429	-11.0044228415	0.0009338675	0.0009338675	-1.0569395033
Rbbp8	0.5674621017	10.9751900776	0.0009420846	0.0009420846	-1.0681712771
Kpna2	-0.822373564	-10.9697140564	0.0009436342	0.0009436342	-1.0702784534
Krt20	1.1462926095	10.9535931585	0.0009482153	0.0009482153	-1.0764876385
Per3	3.9296784165	10.919048326	0.000958129	0.000958129	-1.089822574
Sdr42e1	1.2503055707	10.8154324699	0.0009886781	0.0009886781	-1.1300637109
Tmem47	-0.4857630213	-10.7688552604	0.0010028199	0.0010028199	-1.1482730694
Elovl6	4.3912559883	10.7621385518	0.0010048807	0.0010048807	-1.1509051731
Myo1c	0.8512722505	10.7603759805	0.0010054224	0.0010054224	-1.151596139
Fbxw5	1.0691255921	10.7501948444	0.0010085587	0.0010085587	-1.1555894805
Fgf2	2.2899122333	10.7411868714	0.0010113442	0.0010113442	-1.159125686
Pcdh18	-1.6699889821	-10.7204090161	0.0010178072	0.0010178072	-1.1672931355
Sdf2l1	-0.9948871053	-10.6955043598	0.0010256242	0.0010256242	-1.1771027038
Pomp	0.3522861108	10.6919265135	0.0010267536	0.0010267536	-1.1785137544
Sdc2	-0.4787188047	-10.6289345969	0.0010469025	0.0010469025	-1.2034309246
Akap8	0.2269276069	10.6106367888	0.0010528508	0.0010528508	-1.2106952329
Acad11	0.9197028442	10.577492824	0.0010637368	0.0010637368	-1.2238839898
Abcd3	1.7223603387	10.573207809	0.0010651547	0.0010651547	-1.2255919717
Pef1	0.5688908998	10.5689700904	0.0010665594	0.0010665594	-1.2272817504
Coro2a	4.1640313699	10.5598992678	0.0010695743	0.0010695743	-1.2309008871
Cpped1	0.2568390031	10.5354516969	0.0010777547	0.0010777547	-1.2406699082
Msh5	-3.7308085278	-10.509251572	0.0010866114	0.0010866114	-1.2511632303
Eif4ebp2	0.3638879478	10.4997841294	0.0010898348	0.0010898348	-1.2549611307
Klf12	-0.820372079	-10.4414728743	0.0011099627	0.0011099627	-1.2784250179
Olr59	-0.8899948104	-10.434126177	0.0011125326	0.0011125326	-1.2813900966
Vnn1	2.9069608978	10.4307462167	0.0011137174	0.0011137174	-1.2827548934
Eci1	2.9795721079	10.4067202971	0.001122187	0.001122187	-1.2924684751
Ctps2	1.2523631855	10.3808929128	0.0011313844	0.0011313844	-1.3029341889
Rnf186	5.2960007608	10.3596577352	0.0011390194	0.0011390194	-1.3115576139
Mat2a	0.8485653007	10.3407485504	0.0011458742	0.0011458742	-1.3192506205
Dazap2	0.3481118515	10.337961221	0.0011468891	0.0011468891	-1.3203857465
Acot7	0.8771729418	10.3344984582	0.0011481516	0.0011481516	-1.3217963445
Kcnq3	-4.7682895072	-10.3148352527	0.0011553546	0.0011553546	-1.3298149083
Map4k4	-0.295504751	-10.2709780046	0.0011716315	0.0011716315	-1.3477520989
Cry1	-3.2218713638	-10.2567396433	0.0011769794	0.0011769794	-1.3535910833
Pim1	1.354366089	10.2180010228	0.0011916896	0.0011916896	-1.3695163391
Cidea	3.1304677416	10.2117829721	0.0011940728	0.0011940728	-1.3720778803
Atp6v1g1	0.432772965	10.1141220373	0.0012323229	0.0012323229	-1.4125046468
Ifngr2	0.4269979261	10.0696546286	0.0012502625	0.0012502625	-1.4310345559
Tram1	-0.5473226126	-10.0114298848	0.0012742645	0.0012742645	-1.4554146369
Tp53i3	0.8186493348	9.8499274609	0.0013440234	0.0013440234	-1.5237472886
Tollip	0.4081726733	9.8215386549	0.0013567903	0.0013567903	-1.535867891
Catsper2	0.8623102792	9.8007140271	0.0013662549	0.0013662549	-1.544779978
Slc47a2	2.111266122	9.7869566543	0.0013725542	0.0013725542	-1.5506773606
LOC100911576	-0.2175289035	-9.7382643888	0.0013951526	0.0013951526	-1.5716132045
Kif18a	-1.4112792725	-9.6678117755	0.0014287061	0.0014287061	-1.6020802153
Cdkl2	2.9168475379	9.6641294079	0.0014304883	0.0014304883	-1.6036783788
Ehhadh	4.2748130205	9.6507355152	0.0014369949	0.0014369949	-1.6094962176
Pdk2	0.7265924651	9.6411627757	0.0014416686	0.0014416686	-1.6136589322
Cep104	0.8777815655	9.6372330983	0.0014435929	0.0014435929	-1.6153688805
Mob2	0.3133131871	9.6018357	0.0014610761	0.0014610761	-1.6308011893
Fut10	-1.2406110418	-9.5563115448	0.0014839642	0.0014839642	-1.6507272019
Lama5	0.730579651	9.5429005359	0.0014907948	0.0014907948	-1.6566142132
Decr2	0.9847379699	9.499717674	0.001513066	0.001513066	-1.6756229863
Zmiz2	-0.7121322863	-9.4926611579	0.001516746	0.001516746	-1.6787369094
Polr3gl	0.8370865456	9.462248266	0.0015327389	0.0015327389	-1.6921824797
Acsl4	1.0036145124	9.4398890703	0.0015446354	0.0015446354	-1.7020933471
Rhog	0.4006975345	9.4221150358	0.0015541774	0.0015541774	-1.7099875033
Trmt1l	0.4845757841	9.420952026	0.0015548044	0.0015548044	-1.710504528
Mina	0.6379000041	9.3875013401	0.0015729785	0.0015729785	-1.7254009026
Crebl2	0.4896372744	9.3752265849	0.0015797161	0.0015797161	-1.7308795956
Itpripl2	0.9732239783	9.3667728032	0.001584378	0.001584378	-1.7346567442
Reep5	0.5391393282	9.3340954665	0.0016025656	0.0016025656	-1.7492870057
Dbi	0.982712653	9.3280750329	0.0016059458	0.0016059458	-1.7519876887
Tmsb10	1.3352849899	9.3140067625	0.0016138802	0.0016138802	-1.7583048744
Ascc1	0.3312882187	9.3121398772	0.0016149369	0.0016149369	-1.7591438463
Utp23	0.8405467352	9.3038095661	0.001619663	0.001619663	-1.7628893756
Tmem69	0.5229504624	9.2959545372	0.0016241357	0.0016241357	-1.7664240756
Abhd2	-1.7862962099	-9.2957813871	0.0016242345	0.0016242345	-1.7665020232
Tagln2	0.2547980029	9.2948568855	0.001624762	0.001624762	-1.7669182322
Fbxo3	1.4570954414	9.2878622088	0.0016287602	0.0016287602	-1.7700684764
Calm2	0.6302477067	9.2860649614	0.0016297895	0.0016297895	-1.7708782737
Aqp7	2.2847419318	9.2792426961	0.0016337046	0.0016337046	-1.7739535581
Creb3l3	0.6569881864	9.2438403841	0.0016542164	0.0016542164	-1.7899458876
Aco1	0.9186687887	9.2414149206	0.0016556338	0.0016556338	-1.791043636
Dpep2	1.3202757539	9.2354126187	0.0016591482	0.0016591482	-1.793761393
LOC100174910	0.3752223641	9.2223668533	0.0016668197	0.0016668197	-1.7996740164
Ppm1b	-0.2470042814	-9.2166573599	0.0016701915	0.0016701915	-1.8022641365
Upp1	0.7463047029	9.2104787689	0.0016738503	0.0016738503	-1.8050687496
Cyth1	0.2687636466	9.1706095931	0.0016977093	0.0016977093	-1.8232086205
Fam151b	0.8384094229	9.1660006073	0.0017004956	0.0017004956	-1.8253103756
Lgals2	3.1946494364	9.1453625147	0.0017130447	0.0017130447	-1.8347336921
Serpinf2	-0.4952738811	-9.1437454539	0.001714033	0.001714033	-1.8354728756
Spata21	-4.1241516001	-9.1220117531	0.0017273874	0.0017273874	-1.8454195135
Scd1	3.4837611944	9.1074118613	0.0017364336	0.0017364336	-1.8521136878
Slc16a2	-0.7746823359	-9.0994035302	0.0017414216	0.0017414216	-1.8557898175
Notum	-2.2054473316	-9.0987483556	0.0017418305	0.0017418305	-1.8560907008
Bloc1s6	0.4108201739	9.093139425	0.001745336	0.001745336	-1.8586673794
Esr1	-2.3460598632	-9.0929488287	0.0017454553	0.0017454553	-1.8587549631
Pex19	0.8984629313	9.0891902381	0.0017478097	0.0017478097	-1.8604824777
Pdgfa	1.6567117127	9.0887701205	0.0017480731	0.0017480731	-1.8606756125
Map3k13	0.9922113722	9.0864652166	0.0017495192	0.0017495192	-1.8617353613
Scin	1.7284940112	9.0798799532	0.0017536593	0.0017536593	-1.8647645121
Rnf208	3.2734065933	9.078940702	0.0017542508	0.0017542508	-1.865196724
Ppard	-2.8016026465	-9.078536552	0.0017545054	0.0017545054	-1.8653827132
Ndufa4	0.1585190311	9.0729031571	0.0017580593	0.0017580593	-1.8679759933
Mtl5	-1.7874504421	-9.0533215983	0.0017704848	0.0017704848	-1.8770018394
Anxa13	1.063417284	9.0474717514	0.0017742187	0.0017742187	-1.879701765
Mpnd	0.2929571554	9.0238575484	0.0017893951	0.0017893951	-1.8906171292
Ap1ar	0.2283544043	9.0010855269	0.0018041888	0.0018041888	-1.9011683652
Tom1l2	0.6878719739	8.9876992143	0.0018129587	0.0018129587	-1.9073823805
Caprin1	0.5543108308	8.9754976409	0.0018210002	0.0018210002	-1.9130539205
Afap1l1	0.3519631176	8.9398978545	0.0018447264	0.0018447264	-1.929642405
Etfa	0.5160233638	8.9250500119	0.0018547395	0.0018547395	-1.9365791867
Fus	0.3385454675	8.9128818396	0.0018629978	0.0018629978	-1.9422720307
Fbp2	4.3959984264	8.901734278	0.0018706049	0.0018706049	-1.9474937105
Fn1	-0.5974777004	-8.8837276698	0.0018829774	0.0018829774	-1.9559410784
RGD1311251	0.9934876577	8.8806596949	0.0018850959	0.0018850959	-1.9573819263
Tmtc3	0.058026955	8.8239894351	0.0019247856	0.0019247856	-1.9840798333
Arntl2	-2.4760743144	-8.8140320815	0.00193187	0.00193187	-1.9887872199
Sp100	-0.5942006658	-8.8095195182	0.0019350917	0.0019350917	-1.9909221756
Prpf6	0.2948621052	8.8001286057	0.0019418183	0.0019418183	-1.9953683894
Zmynd12	2.3893655951	8.7994897766	0.001942277	0.001942277	-1.9956710082
RGD1306502	0.3709556035	8.7963635386	0.0019445237	0.0019445237	-1.9971522271
Sdhc	0.2854811925	8.7608906838	0.0019702518	0.0019702518	-2.0139935175
Gtpbp6	0.3322840523	8.7254711822	0.0019963799	0.0019963799	-2.0308724458
Thnsl1	1.2535670072	8.7218105132	0.0019991056	0.0019991056	-2.0326205185
Psme1	0.3492965355	8.7145813069	0.0020045026	0.0020045026	-2.0360746584
Rem2	0.8715336884	8.6889347298	0.0020238009	0.0020238009	-2.0483500471
Cast	0.5516914679	8.6856911495	0.0020262585	0.0020262585	-2.0499049233
Nob1	0.6065532072	8.6700183108	0.0020381882	0.0020381882	-2.0574255699
Pex14	0.406987083	8.6625496649	0.0020439049	0.0020439049	-2.061013827
Slc25a1	0.610211427	8.6559454319	0.0020489772	0.0020489772	-2.0641891597
Me1	3.1469883834	8.6271082587	0.0020713157	0.0020713157	-2.0780803568
Mmp7	3.0958331027	8.6170873531	0.0020791516	0.0020791516	-2.0829175575
Dgat1	0.2621070824	8.6161744065	0.0020798673	0.0020798673	-2.0833585042
Ndufaf1	0.2039152637	8.606683033	0.0020873277	0.0020873277	-2.0879453206
Aco2	0.979265061	8.5955755319	0.002096102	0.002096102	-2.0933190664
Man2b2	0.5050113368	8.5825870548	0.0021064226	0.0021064226	-2.0996109298
Emid1	-0.6457790168	-8.5766312672	0.0021111768	0.0021111768	-2.102498956
Srpk1	0.3442313954	8.5764119186	0.0021113522	0.0021113522	-2.1026053557
Galm	0.6201292935	8.5679428138	0.0021181373	0.0021181373	-2.1067153922
Arl6ip1	-0.5231532726	-8.5598172087	0.0021246735	0.0021246735	-2.110662243
Fance	-0.3052485075	-8.5494968923	0.0021330126	0.0021330126	-2.1156801011
Rrp15	0.7360971983	8.5291400387	0.0021495854	0.0021495854	-2.1255941863
Dnajc3	-0.6271982296	-8.4857388505	0.0021854754	0.0021854754	-2.1468039908
Rita1	1.0024862484	8.4791495329	0.0021909915	0.0021909915	-2.1500328424
Hat1	0.4069398768	8.4583388377	0.0022085308	0.0022085308	-2.1602454975
Kcna7	-3.5046603976	-8.456972132	0.002209689	0.002209689	-2.1609170021
Cgrrf1	-0.3404807879	-8.4556307666	0.0022108264	0.0022108264	-2.161576153
Tmem189	0.2511551272	8.4540019499	0.0022122087	0.0022122087	-2.1623766873
Nsa2	0.5797882468	8.4439159898	0.0022207924	0.0022207924	-2.1673369092
Cacng4	3.0273433477	8.439141659	0.0022248706	0.0022248706	-2.1696867951
Asf1b	-1.1754298385	-8.4379534271	0.0022258871	0.0022258871	-2.1702718223
Trim45	2.0947968752	8.4251157347	0.0022369073	0.0022369073	-2.1765972954
Aqp8	-0.5030208445	-8.4224187373	0.0022392313	0.0022392313	-2.1779273009
Serhl2	0.7181929837	8.4222432942	0.0022393826	0.0022393826	-2.178013833
LOC100302372	-0.8156946363	-8.4143299161	0.0022462203	0.0022462203	-2.1819185892
Apoc3	-1.3822838409	-8.405282939	0.0022540705	0.0022540705	-2.1863868305
Nup37	0.5217946481	8.4033775878	0.0022557283	0.0022557283	-2.1873284324
Xpnpep3	0.5740792456	8.386687182	0.0022703172	0.0022703172	-2.1955850032
Mpc1	-0.7121027101	-8.3773068425	0.0022785698	0.0022785698	-2.2002319679
Mettl7b	1.0987334568	8.3716004946	0.002283609	0.002283609	-2.2030611901
