gene_short_name	logFC	t	P.Value	adj.P.Val	B
Lias	0.4561802297	32.6442742118	2.41862727044198E-05	2.41862727044198E-05	3.9423408944
Atp6v1f	0.3220304891	31.1962457201	2.81803793005651E-05	2.81803793005651E-05	3.7967625217
Ppp1r3c	-2.0976326729	-28.0003027261	4.05506572061853E-05	4.05506572061853E-05	3.4367267974
Efcab3	-4.4567340568	-27.7983153833	4.1550949712964E-05	4.1550949712964E-05	3.4119816063
Aldh3a1	-4.4548862838	-27.7869266063	4.16082966988571E-05	4.16082966988571E-05	3.4105787803
Insig2	-2.2955126031	-25.9299450579	5.25118688504027E-05	5.25118688504027E-05	3.1704426945
Ptgr1	0.6590398971	25.1734505377	5.80108313767121E-05	5.80108313767121E-05	3.065696234
Tnfsf9	-4.021399226	-25.111250784	5.84954959089474E-05	5.84954959089474E-05	3.0568937045
Klf16	2.3183645769	25.018529481	5.92277646408451E-05	5.92277646408451E-05	3.0437168795
Zfp354c	-1.9818476853	-24.2896255177	6.5418921403845E-05	6.5418921403845E-05	2.9377907688
Slc25a25	-2.4564768318	-23.6590504642	0.000071467	0.000071467	2.8426767041
Thra	-2.0346647438	-23.4225046796	7.39218609914577E-05	7.39218609914577E-05	2.8061295522
Hsdl2	1.885199417	23.331895581	7.48911013490879E-05	7.48911013490879E-05	2.7920015782
Rita1	1.1860304162	23.0238016856	7.83124098691852E-05	7.83124098691852E-05	2.7434210335
Faah	-0.3204730901	-22.2635730812	8.76642649674214E-05	8.76642649674214E-05	2.6198497427
Rhbdl2	-3.5239460883	-22.0439543053	9.06325084563542E-05	9.06325084563542E-05	2.5831367343
ERCC-00075	-1.9020143136	-21.3945787753	0.0001002057	0.0001002057	2.4717962003
Hes6	1.2321298389	21.2095182485	0.0001031715	0.0001031715	2.4392802982
Ifngr2	0.453456598	21.118379167	0.0001046739	0.0001046739	2.4231352209
Pex19	0.860988109	20.5189450085	0.0001152955	0.0001152955	2.3147267113
Ndufaf1	0.2509586288	20.3577723094	0.0001183872	0.0001183872	2.2849040394
RGD1563072	1.7491807719	20.1617578981	0.0001222935	0.0001222935	2.2482380475
Tom1l2	0.6519134319	19.9406242914	0.0001269029	0.0001269029	2.2063417929
Hspb2	1.4658933575	19.1451685499	0.0001454661	0.0001454661	2.0507948606
Nceh1	2.5937875157	19.1314478828	0.0001458161	0.0001458161	2.0480432403
Ssr4	-0.2416044724	-19.0626561635	0.0001475878	0.0001475878	2.0342112874
Ccdc71	0.3053450546	18.7186071692	0.0001568786	0.0001568786	1.9641181228
Aldh1a1	1.6475591892	18.4909579633	0.0001634452	0.0001634452	1.9168827798
Tgds	0.4361913755	18.3507280542	0.0001676678	0.0001676678	1.887438753
Spata21	-3.6874274049	-17.7950008508	0.0001858591	0.0001858591	1.7680658293
Rbm20	-0.9437749705	-17.7219549473	0.0001884368	0.0001884368	1.752047689
Pld1	-0.8326245247	-17.701385099	0.000189171	0.000189171	1.7475229146
Tagln2	0.3080955708	17.4075267727	0.0002000757	0.0002000757	1.6821997714
Stk19	0.6726625709	17.3594963338	0.0002019348	0.0002019348	1.6713999719
Catsper2	0.8695633303	17.1018785527	0.0002122964	0.0002122964	1.6128719616
Ppic	-0.4213488995	-17.0130747684	0.0002160272	0.0002160272	1.592458243
Dffa	0.6961399639	16.9914729296	0.0002169475	0.0002169475	1.587473803
Anapc2	0.5092429146	16.7860360581	0.0002259585	0.0002259585	1.5397005083
Pou4f2	7.7877286908	16.6847250024	0.0002305806	0.0002305806	1.5158913333
Pcdh18	-1.6035505351	-16.4476006417	0.000241887	0.000241887	1.4595065606
Esr1	-2.234638384	-16.4234216175	0.0002430798	0.0002430798	1.4537046343
Myo1c	0.8340408251	16.3026831213	0.0002491513	0.0002491513	1.4245851192
Ndufa10	0.3097329794	15.7136520293	0.0002817562	0.0002817562	1.2789008779
Ier2	-1.1235192164	-15.6185628952	0.0002875272	0.0002875272	1.2548014003
Crispld1	-5.2433033896	-15.4514905763	0.0002980423	0.0002980423	1.2120540844
Armc7	-1.1462638413	-15.3945542781	0.000301739	0.000301739	1.1973670735
Cdkl2	2.6733422753	15.3770748686	0.0003028858	0.0003028858	1.1928458949
Pank1	1.2756864339	15.1758697223	0.0003165012	0.0003165012	1.1403829024
Map3k13	1.2786715768	15.1334624281	0.0003194713	0.0003194713	1.1292258699
Zfp93	1.2648866786	14.7985557088	0.0003442409	0.0003442409	1.0398676048
Aldh3a2	0.717511299	14.7050463167	0.0003515972	0.0003515972	1.0145149322
Zbtb7b	-0.4297577693	-14.6692141053	0.0003544699	0.0003544699	1.0047524417
Acsl1	0.8813392586	14.6135007321	0.0003589969	0.0003589969	0.9895206463
Slc16a2	-0.8682240401	-14.5656648714	0.0003629437	0.0003629437	0.9763910704
Tmem14c	1.1680109908	14.4614821249	0.0003717354	0.0003717354	0.9476299258
Pdk4	2.653344381	14.4611424873	0.0003717645	0.0003717645	0.9475357896
H2afv	-1.8956089039	-14.3296987838	0.0003832547	0.0003832547	0.9109194957
Sesn2	-1.3932107726	-14.2715159831	0.0003884872	0.0003884872	0.8945930531
Pon3	-0.688612486	-14.1130835431	0.0004032112	0.0004032112	0.8497620394
Dmrta1	8.2160563603	14.0168517563	0.0004125076	0.0004125076	0.8222611
Man1a2	-0.7141842815	-13.9380609494	0.0004203263	0.0004203263	0.7995899458
Cmpk1	-0.427813833	-13.9063993049	0.0004235221	0.0004235221	0.7904401469
Dyrk2	-0.5937397648	-13.8546314449	0.0004288153	0.0004288153	0.7754307605
Fcrl2	4.3495900607	13.6393847642	0.0004517632	0.0004517632	0.7123601796
Hsd17b4	0.5534879918	13.5815196773	0.0004582015	0.0004582015	0.6952199686
Kdm8	0.8254852818	13.5152311536	0.0004657235	0.0004657235	0.6754869345
Cox7a2l	0.2311765913	13.4826491014	0.0004694792	0.0004694792	0.6657492614
Ppp1ca	0.2384819916	13.4811638997	0.0004696513	0.0004696513	0.6653047772
Bub1	-1.1323877173	-13.2997458868	0.0004913046	0.0004913046	0.6106084465
Rdh14	0.4954818696	13.1958528921	0.0005042872	0.0005042872	0.578921246
Derl1	0.1200672808	13.1858484199	0.0005055606	0.0005055606	0.5758557108
Afg3l1	0.3776291256	13.1807284236	0.0005062139	0.0005062139	0.5742858902
Abcc3	3.1195449801	13.15475161	0.0005095455	0.0005095455	0.5663111174
Qtrt1	1.0845644089	13.1427809495	0.0005110902	0.0005110902	0.5626304666
Fam53a	-0.3898603282	-13.1270148823	0.000513134	0.000513134	0.5577773233
Slmo2	0.3794905127	12.9880460079	0.0005316136	0.0005316136	0.5147266758
Acat1	0.872268325	12.9846781396	0.000532072	0.000532072	0.5136772268
Mpc2	0.3517717064	12.963555075	0.0005349589	0.0005349589	0.5070884823
Apoa4	-4.1208860275	-12.9549161129	0.0005361454	0.0005361454	0.504390484
Ddx17	-0.7967594075	-12.9375553429	0.0005385402	0.0005385402	0.4989627771
Acox1	2.0005712515	12.9306996945	0.0005394896	0.0005394896	0.4968172629
Pgr	4.9160493674	12.8790211512	0.0005467167	0.0005467167	0.4806048529
Morc1	4.9105469134	12.864084287	0.0005488289	0.0005488289	0.4759059358
Apcs	-1.2602496398	-12.7958587848	0.0005586114	0.0005586114	0.4543687362
Etv6	-1.6249676697	-12.7895201678	0.0005595317	0.0005595317	0.4523615538
Pls3	-0.1337130123	-12.7318436033	0.0005679959	0.0005679959	0.4340487668
Slc25a42	0.9116887502	12.6508082785	0.0005801696	0.0005801696	0.4081692934
Uqcrc2	0.2284613105	12.6487631686	0.0005804811	0.0005804811	0.4075138825
Igfbp7	-0.33516996	-12.5893179119	0.0005896326	0.0005896326	0.3884135743
Coa5	0.3776811146	12.563745098	0.0005936268	0.0005936268	0.3801672503
Asah2	0.8725441985	12.3188637056	0.0006337023	0.0006337023	0.300287398
Slc35d2	1.3660453041	12.2385406015	0.0006476049	0.0006476049	0.2737193893
Clock	-0.4709355516	-12.1618840588	0.0006612421	0.0006612421	0.2481918654
Polr3gl	0.9249152822	12.1420321819	0.000664834	0.000664834	0.241553291
Sdk2	-1.1811209528	-12.0815986455	0.0006759249	0.0006759249	0.2212733807
Acaa2	1.5479965627	12.0466353203	0.0006824506	0.0006824506	0.2094917883
Srms	-3.0883097443	-12.0287435881	0.0006858214	0.0006858214	0.2034488923
Maoa	0.3788036895	11.9751405875	0.0006960498	0.0006960498	0.1852878842
Adamts9	-0.90686124	-11.9441773356	0.0007020479	0.0007020479	0.1747584133
Acadvl	0.6219605373	11.921003484	0.0007065808	0.0007065808	0.1668590747
Nif3l1	0.8180873721	11.920721856	0.0007066361	0.0007066361	0.1667629763
Lgals2	3.1354121827	11.8483090324	0.0007210473	0.0007210473	0.1419746388
Sdf2l1	-1.0300016849	-11.8444467673	0.0007218265	0.0007218265	0.1406480542
Tprkb	0.5797206929	11.7874828676	0.0007334469	0.0007334469	0.1210297291
Pm20d1	-0.492337747	-11.7568464101	0.0007397965	0.0007397965	0.1104375076
Acaa1b	5.8994676809	11.7490538113	0.0007414228	0.0007414228	0.107738699
Npr3	-1.2991337089	-11.7403989881	0.0007432345	0.0007432345	0.1047390836
Rbbp8	0.5339538852	11.7248957523	0.0007464942	0.0007464942	0.0993601449
Slc25a1	0.5963856132	11.6265341252	0.0007676107	0.0007676107	0.0650590992
Fads2	1.8032232819	11.5815200482	0.0007775315	0.0007775315	0.049260591
Nr2c2ap	0.3865640379	11.5035883065	0.0007951017	0.0007951017	0.0217573395
Cdca8	-0.5461542977	-11.470045866	0.0008028217	0.0008028217	0.009860046
Kpna2	-0.8378218342	-11.3964601726	0.0008200996	0.0008200996	-0.0163673612
Arsg	0.8873289337	11.3752223698	0.0008251753	0.0008251753	-0.0239696037
Arntl2	-2.5452335617	-11.3663575046	0.0008273059	0.0008273059	-0.0271472057
Ctps2	1.2011975876	11.3646939188	0.0008277065	0.0008277065	-0.0277438025
Nubpl	0.1580616874	11.3288314503	0.0008364041	0.0008364041	-0.0406268736
Ahdc1	-1.0103331206	-11.305405776	0.0008421491	0.0008421491	-0.0490650227
Caprin1	0.5078700751	11.2781942038	0.0008488867	0.0008488867	-0.0588896268
Tram1	-0.5598850588	-11.2773606643	0.0008490941	0.0008490941	-0.0591909589
Erp44	-0.3436953834	-11.2449348301	0.0008572164	0.0008572164	-0.070931096
Zfp455	0.6222800408	11.236604154	0.0008593192	0.0008593192	-0.0739529592
Klf12	-0.8289985533	-11.1952217892	0.0008698644	0.0008698644	-0.0889983394
Dnajc3	-0.6489103903	-11.1899559552	0.0008712183	0.0008712183	-0.090916954
RGD1565784	0.2649742678	11.1840090916	0.0008727504	0.0008727504	-0.0930848232
Ugcg	1.459927384	11.1594707807	0.0008791094	0.0008791094	-0.1020426109
Aco1	0.8887526662	11.144315217	0.0008830667	0.0008830667	-0.1075853494
Dpp6	-1.8329808688	-11.1284019671	0.0008872467	0.0008872467	-0.1134135593
RGD1312005	4.2429328124	11.0480105178	0.0009087577	0.0009087577	-0.1429886579
Fbxo3	1.3219780645	10.9481953685	0.0009364115	0.0009364115	-0.1800190045
Cd276	1.3699659872	10.9296732565	0.0009416619	0.0009416619	-0.1869286256
Terc	-1.7153888758	-10.8828101959	0.0009551165	0.0009551165	-0.2044645195
Adtrp	0.5965916072	10.8717198227	0.0009583368	0.0009583368	-0.2086257986
Tmem47	-0.5408704216	-10.8615318104	0.0009613075	0.0009613075	-0.2124523315
Steap2	1.3065937123	10.8400806003	0.0009676012	0.0009676012	-0.2205212576
Clk1	0.6288500708	10.8186543646	0.0009739407	0.0009739407	-0.2285971202
Snapin	0.2680420772	10.8163205786	0.0009746345	0.0009746345	-0.2294777465
Uqcc1	0.4691837302	10.8060850096	0.0009776846	0.0009776846	-0.2333423131
Serpind1	-0.5070907662	-10.7943556456	0.0009811951	0.0009811951	-0.2377754862
Hspb11	0.6488797028	10.7605895343	0.000991392	0.000991392	-0.2505651057
Cyp1a2	-1.4934069088	-10.7564370887	0.0009926554	0.0009926554	-0.2521407621
Elovl6	4.2915422934	10.7450400591	0.0009961337	0.0009961337	-0.2564685897
Pde1b	4.1277571144	10.7335638793	0.000999652	0.000999652	-0.2608312127
Acot7	0.8940856438	10.7289088127	0.0010010838	0.0010010838	-0.2626021751
Acbd4	-0.6536051942	-10.6862651169	0.001014323	0.001014323	-0.2788620295
Sec61b	-0.1641101562	-10.669727736	0.0010195179	0.0010195179	-0.2851854768
Crebl2	0.5225796808	10.6084506801	0.0010390686	0.0010390686	-0.3087035459
Zmiz2	-0.7156087144	-10.602083054	0.0010411279	0.0010411279	-0.3111553642
Cpt2	1.2702303687	10.548466444	0.0010586774	0.0010586774	-0.3318597471
Colq	5.455926886	10.5474911267	0.0010590002	0.0010590002	-0.3322373621
Ptk6	-2.7006968348	-10.474347359	0.0010835708	0.0010835708	-0.360658083
Galnt14	-3.7084011288	-10.4462502414	0.0010932044	0.0010932044	-0.3716290762
Abcd3	1.7028596685	10.4247039542	0.0011006668	0.0011006668	-0.3800624758
Ift52	0.5249620919	10.419860577	0.0011023533	0.0011023533	-0.3819606464
Nrg1	0.4731963406	10.4148489644	0.0011041019	0.0011041019	-0.3839256917
Tex36	3.7935517518	10.4060399673	0.0011071841	0.0011071841	-0.3873820081
Arl8a	0.6642800506	10.3872851103	0.0011137833	0.0011137833	-0.3947505841
Krt23	5.0884348695	10.3836861261	0.0011150555	0.0011150555	-0.3961661256
Thnsl1	1.2956828817	10.3790009545	0.0011167144	0.0011167144	-0.3980096275
Angptl3	-0.6227973781	-10.3772377615	0.0011173395	0.0011173395	-0.3987036195
Tefm	0.6131850049	10.3548714584	0.0011253086	0.0011253086	-0.4075173593
Lztr1	0.3514542597	10.3345529332	0.0011326116	0.0011326116	-0.4155408555
Dram1	1.1611590345	10.3261075638	0.0011356651	0.0011356651	-0.4188805057
Mpc1	-0.8108322442	-10.3060967137	0.0011429425	0.0011429425	-0.4268046617
Ccdc25	0.3241534612	10.3033656693	0.0011439404	0.0011439404	-0.4278873417
Vps37c	0.530135266	10.2910114252	0.0011484685	0.0011484685	-0.432788614
Pef1	0.5643161985	10.2708560547	0.0011559055	0.0011559055	-0.4407975802
Gpalpp1	0.3077221264	10.2615019261	0.0011593781	0.0011593781	-0.4445199422
Col14a1	-0.6763617561	-10.2390384862	0.0011677724	0.0011677724	-0.4534729996
Rnf186	5.4587005439	10.2344017159	0.0011695149	0.0011695149	-0.4553235039
Slc18a2	-0.8768872283	-10.1916976067	0.0011857213	0.0011857213	-0.472406282
Fus	0.2537192269	10.190235873	0.0011862811	0.0011862811	-0.4729922905
Ywhaq	0.5147891978	10.1535594426	0.0012004402	0.0012004402	-0.4877236357
Neil2	3.14162767	10.1394283936	0.0012059536	0.0012059536	-0.4934137715
Hadha	1.047112982	10.1376040325	0.0012066678	0.0012066678	-0.4941489668
Kif18a	-1.3625486991	-10.1215875932	0.0012129612	0.0012129612	-0.500609116
Flna	-0.3430228482	-10.0952263806	0.0012234117	0.0012234117	-0.5112641942
Chaf1b	-1.8514868182	-10.053979851	0.0012399971	0.0012399971	-0.5279920769
Mir145	-1.9409174448	-10.0535096616	0.0012401878	0.0012401878	-0.5281831633
Pdk2	0.7227506635	10.0406869701	0.0012454039	0.0012454039	-0.5333978056
Ech1	2.4520647157	10.0225029982	0.0012528494	0.0012528494	-0.5408042066
Fis1	-0.3158468922	-10.0182103429	0.0012546154	0.0012546154	-0.5425545884
Metap1d	0.7596332606	10.0118654706	0.0012572316	0.0012572316	-0.5451431647
Per3	3.4978988283	9.9971130286	0.0012633416	0.0012633416	-0.5511682199
ERCC-00051	0.7282848205	9.9835096961	0.0012690097	0.0012690097	-0.5567318709
Sbds	0.6935078086	9.958996504	0.0012793065	0.0012793065	-0.5667767706
Acat2	3.9477431241	9.9520227879	0.0012822554	0.0012822554	-0.5696389524
Gpx4	0.573900386	9.9325471473	0.0012905376	0.0012905376	-0.5776428742
Cops4	0.2358159548	9.9229031311	0.0012946642	0.0012946642	-0.5816121016
Slc25a20	0.9793581143	9.9208687784	0.0012955369	0.0012955369	-0.5824498816
Agtr1a	-1.1962726709	-9.8875636732	0.0013099321	0.0013099321	-0.5961899617
Slc38a8	-3.3409326745	-9.861884122	0.0013211722	0.0013211722	-0.6068157354
Asb3	0.2742249622	9.8400381191	0.0013308323	0.0013308323	-0.6158770336
Zfp691	0.8681660816	9.8262365722	0.0013369821	0.0013369821	-0.6216120074
Impa2	1.0593232229	9.8178299194	0.001340746	0.001340746	-0.6251091756
Phkg2	0.2927600153	9.8167332232	0.001341238	0.001341238	-0.6255656217
Capns2	3.0355902979	9.7840259454	0.0013560194	0.0013560194	-0.6392018555
Rab17	0.3553591343	9.7587676082	0.0013675781	0.0013675781	-0.6497636348
Prkcdbp	0.8892760155	9.7572060942	0.0013682968	0.0013682968	-0.6504174761
Eif2b1	0.5600615481	9.7060994839	0.0013920912	0.0013920912	-0.6718746857
Atxn10	0.4663038653	9.6823314108	0.0014033388	0.0014033388	-0.6818920901
Mreg	-1.0472761252	-9.6724820358	0.001408034	0.001408034	-0.6860504224
Hadhb	1.3058935088	9.6517882606	0.0014179648	0.0014179648	-0.6948009068
Arl6ip4	0.3925924962	9.6320803958	0.0014275065	0.0014275065	-0.7031518387
Scd1	3.4638808506	9.6285763683	0.0014292116	0.0014292116	-0.7046383978
Abhd6	1.0446458579	9.6128713223	0.0014368864	0.0014368864	-0.7113077582
Hmgcl	0.7909588741	9.6096693112	0.0014384577	0.0014384577	-0.7126688628
P2rx4	0.8138735219	9.6072695263	0.0014396367	0.0014396367	-0.7136892537
Sox17	0.4362741161	9.595793824	0.0014452922	0.0014452922	-0.7185722324
Gpd1	1.3657338664	9.5687807528	0.001458718	0.001458718	-0.7300893546
Eci1	3.0137394541	9.496684109	0.0014953457	0.0014953457	-0.7609864725
Cpeb1	-4.583501194	-9.4843573423	0.0015017262	0.0015017262	-0.7662923581
Pex14	0.4115345847	9.4812739901	0.0015033277	0.0015033277	-0.7676206107
Aig1	3.3836524573	9.4588483394	0.0015150417	0.0015150417	-0.7772940449
Tnni3	1.8679479804	9.4503312853	0.0015195214	0.0015195214	-0.7809738661
Cox7a2	0.3273160748	9.4119836399	0.0015399034	0.0015399034	-0.7975827736
Commd5	0.4608490612	9.400832906	0.001545896	0.001545896	-0.8024248526
Adgrg2	3.2235613414	9.3990879894	0.0015468365	0.0015468365	-0.8031830755
Aqp7	2.2538813143	9.3974655344	0.0015477116	0.0015477116	-0.8038882094
Arglu1	-0.1579854971	-9.385574176	0.0015541451	0.0015541451	-0.8090599726
Tmem120a	0.7364902683	9.3838975422	0.001555055	0.001555055	-0.8097896903
Tmem189	0.2478580011	9.3516944027	0.0015726645	0.0015726645	-0.8238303936
Thrsp	2.246072455	9.3127454469	0.0015943073	0.0015943073	-0.84087609
Scnn1a	1.5116217301	9.2922181852	0.001605868	0.001605868	-0.8498879413
Phb	0.4771488712	9.2917413938	0.0016061378	0.0016061378	-0.8500974943
Vwa5a	0.450014171	9.2612752123	0.0016234994	0.0016234994	-0.8635095565
Map1lc3a	0.7565506085	9.254315275	0.0016274995	0.0016274995	-0.8665796003
Sorl1	1.0415046884	9.2418618779	0.0016346884	0.0016346884	-0.8720784869
Abhd2	-1.7909274851	-9.2374811941	0.001637227	0.001637227	-0.8740145398
Nol12	0.6377975925	9.2301423407	0.0016414912	0.0016414912	-0.877259984
Esrp2	0.3316370155	9.2161392549	0.0016496672	0.0016496672	-0.8834595716
Dbi	0.9640863321	9.2141927491	0.0016508079	0.0016508079	-0.8843220803
Trmt1l	0.3940893406	9.2138150982	0.0016510293	0.0016510293	-0.8844894404
Nt5dc3	0.9698686525	9.2014800005	0.0016582826	0.0016582826	-0.8899595783
Stat5b	-0.7901621115	-9.1365691146	0.0016971348	0.0016971348	-0.9188640528
Cwf19l2	-0.2668991597	-9.1314215762	0.0017002657	0.0017002657	-0.9211648282
Prpf4	0.264106508	9.1277814506	0.0017024843	0.0017024843	-0.9227926077
Pdia3	-0.5771942185	-9.1188988648	0.0017079136	0.0017079136	-0.9267673625
Psmb7	0.6496889327	9.1118146081	0.0017122597	0.0017122597	-0.9299401235
Mlycd	0.5549632814	9.1025455202	0.0017179677	0.0017179677	-0.9340950319
Apoc3	-1.4097951968	-9.0934103403	0.0017236172	0.0017236172	-0.9381939672
Raver2	-4.6796023335	-9.0830227239	0.0017300703	0.0017300703	-0.9428597644
Cdh20	-4.6783460285	-9.0805812677	0.0017315915	0.0017315915	-0.9439571485
Mafk	0.9294302263	9.0798073667	0.001732074	0.001732074	-0.9443050612
Tctn1	0.6949370085	9.0565482922	0.0017466581	0.0017466581	-0.9547748929
Pdzd4	4.7683854428	9.0549843718	0.0017476444	0.0017476444	-0.9554798179
Ppard	-2.7371850242	-9.0530461913	0.0017488677	0.0017488677	-0.9563536029
Pnrc1	-1.4291377006	-9.0443670528	0.0017543591	0.0017543591	-0.9602686392
Cidea	3.1494438237	9.0443487996	0.0017543707	0.0017543707	-0.9602768769
Slc16a12	0.4033422417	9.0388078791	0.0017578882	0.0017578882	-0.9627782319
Parvb	2.413846963	9.0385738781	0.0017580369	0.0017580369	-0.9628839007
Vnn1	2.8643955414	9.0242938945	0.001767145	0.001767145	-0.9693374292
Lrig2	-0.3698048615	-8.9886828573	0.0017901243	0.0017901243	-0.9854745778
Dnajc2	0.4816927931	8.9708373229	0.0018017844	0.0018017844	-0.9935847496
Me1	3.1209311442	8.9611918014	0.0018081273	0.0018081273	-0.9979748503
Kctd6	-0.7630149741	-8.9515323797	0.0018145082	0.0018145082	-1.0023758935
Bard1	-0.472963318	-8.9493159758	0.0018159765	0.0018159765	-1.0033863879
C2cd2	-0.5557374381	-8.9491836736	0.0018160641	0.0018160641	-1.0034467143
Nek8	1.349651923	8.9482853834	0.0018166597	0.0018166597	-1.0038563347
Tmem117	-0.2983892728	-8.933137247	0.0018267402	0.0018267402	-1.0107699222
Ehhadh	4.2549106881	8.9268673527	0.0018309336	0.0018309336	-1.0136348329
Foxp2	0.9363390946	8.8744594779	0.0018664737	0.0018664737	-1.0376584753
Tmem255a	-4.5680190518	-8.8663872739	0.0018720265	0.0018720265	-1.0413710059
Coro2a	4.1260030699	8.8579880954	0.0018778267	0.0018778267	-1.0452374043
Manf	-0.3607682397	-8.8524136424	0.001881689	0.001881689	-1.0478054615
Atg12	0.4693091466	8.8481187551	0.0018846717	0.0018846717	-1.0497851155
Emc4	0.1422837339	8.8430444396	0.0018882036	0.0018882036	-1.0521252359
Smtn	-0.6970923074	-8.8187368626	0.0019052408	0.0019052408	-1.0633532587
Cnep1r1	-0.8562273031	-8.8100750347	0.0019113597	0.0019113597	-1.0673615398
Ntmt1	0.7875719439	8.798538268	0.0019195487	0.0019195487	-1.0727061443
Decr2	1.0685762361	8.7980576763	0.0019198908	0.0019198908	-1.0729289341
Etfa	0.4872447705	8.7761212691	0.0019355902	0.0019355902	-1.0831106534
Rfwd2	0.230495818	8.7691113776	0.0019406418	0.0019406418	-1.0863694733
Aco2	0.9504271186	8.7633551202	0.0019448027	0.0019448027	-1.08904738
Fdps	1.7510254535	8.7609557409	0.0019465404	0.0019465404	-1.0901641141
Mettl7b	1.1584977798	8.7440312651	0.0019588549	0.0019588549	-1.0980496302
Tsen15	0.5342768992	8.7415360972	0.0019606789	0.0019606789	-1.0992134377
Stk4	0.433831565	8.7404422063	0.0019614792	0.0019614792	-1.0997237566
Prelid2	0.624134096	8.7146804183	0.0019804494	0.0019804494	-1.1117599689
Mrps10	0.6375165769	8.7069049551	0.0019862213	0.0019862213	-1.1153995178
Prmt7	0.584074737	8.6979679058	0.0019928823	0.0019928823	-1.1195866662
Ndufs1	0.3914669858	8.6946795406	0.0019953404	0.0019953404	-1.1211283635
Prtfdc1	0.9504508228	8.6869953458	0.0020010996	0.0020010996	-1.1247331727
LOC100911576	-0.2655811329	-8.6762016598	0.0020092256	0.0020092256	-1.1298019118
Fkbpl	1.05831142	8.6590954735	0.0020221909	0.0020221909	-1.1378475009
Ormdl3	-0.2973556897	-8.6413461006	0.0020357577	0.0020357577	-1.1462118342
Nos1	-3.7116342771	-8.6362683481	0.0020396604	0.0020396604	-1.1486077575
LOC100302372	-0.8300173759	-8.6265329322	0.0020471698	0.0020471698	-1.1532051882
Ccdc64	2.6570229114	8.6178591938	0.0020538903	0.0020538903	-1.1573054706
Kdm4c	-0.4861376013	-8.5886434465	0.0020767365	0.0020767365	-1.171145768
Creb3l3	0.6511092071	8.5877501305	0.0020774402	0.0020774402	-1.1715696704
Zfp61	0.5812062136	8.5693093403	0.0020920353	0.0020920353	-1.1803298165
