gene_short_name	logFC	t	P.Value	adj.P.Val	B	FC
Il12a	3.1609085425	70.197276131	1.84358906766802e-06	1.84358906766802e-06	5.5709829176	8.94392780279377
C2	5.9942801802	48.1466193875	6.57491321734564e-06	6.57491321734564e-06	4.9058023059	63.7467630072169
Eif2ak1	0.3224752908	43.4111606187	9.32071504587074e-06	9.32071504587074e-06	4.6700696369	1.25047419905323
Ssr4	-0.2649936284	-42.0277672234	1.03955797941947e-05	1.03955797941947e-05	4.5915784331	-1.20163074256514
Sik1	-1.5351033404	-41.542904582	1.08101224604281e-05	1.08101224604281e-05	4.5629094234	-2.89809189230711
Gadd45gip1	4.3974822531	41.2646530827	1.10577199014391e-05	1.10577199014391e-05	4.54617434	21.0753144710775
Lias	0.4547985548	30.0241225793	3.22658645655115e-05	3.22658645655115e-05	3.6497249403	1.37059141433188
Spata21	-3.7150622643	-29.5430929968	3.40678184220547e-05	3.40678184220547e-05	3.5991030068	-13.1324325025144
Klf16	2.1906648525	29.1081867511	3.58107501517111e-05	3.58107501517111e-05	3.5522256985	4.56515818919021
Thra	-2.1073708319	-29.011093994	3.62155389995349e-05	3.62155389995349e-05	3.541613154	-4.30905296608837
Dram1	1.2771933347	28.719749924	3.74663069900281e-05	3.74663069900281e-05	3.5094396795	2.4236700936791
Ppp1r3c	-2.0968172513	-27.8488054298	4.15551755386545e-05	4.15551755386545e-05	3.4102327743	-4.27764646027399
Aldh3a1	-4.3878739021	-27.2405024714	4.4759e-05	4.4759e-05	3.3381369022	-20.9354192154734
Efcab3	-4.2110603209	-26.1529359079	5.13300940872953e-05	5.13300940872953e-05	3.2031228014	-18.5206178260534
Iba57	0.5152062943	25.4367724836	5.63511864722347e-05	5.63511864722347e-05	3.1096714987	1.42919848952743
Nrg1	0.5771865784	25.378266781	5.6789e-05	5.6789e-05	3.1018701919	1.49193696089038
Cyp4a1	3.9917206422	25.2038752353	5.81203179759258e-05	5.81203179759258e-05	3.078463108	15.9084419523069
Zfp354c	-1.9832209598	-24.6385301546	6.27241430638669e-05	6.27241430638669e-05	3.0009710468	-3.95374810645088
Slc25a25	-2.4499559248	-24.4106092517	6.47135593555818e-05	6.47135593555818e-05	2.9690159225	-5.46399409616629
Ptgr1	0.6576188014	23.8247725225	7.02157713383674e-05	7.02157713383674e-05	2.8849285714	1.57747681508559
Nceh1	2.5765803502	22.5239062751	8.47846577277965e-05	8.47846577277965e-05	2.6875756152	5.9652406906816
Rita1	1.184651378	22.3706366655	8.67503865525289e-05	8.67503865525289e-05	2.663302535	2.27308459748988
Hes6	1.2310860852	21.7486714734	9.53607238597155e-05	9.53607238597155e-05	2.56246359	2.34743642324302
Insig2	-2.2980533352	-21.709032017	9.59462660117372e-05	9.59462660117372e-05	2.5559066478	-4.91793727758661
Rhbdl2	-3.4569533458	-21.5180732618	9.8833210126021e-05	9.8833210126021e-05	2.5240952526	-10.9811203343332
Hspb2	1.4424057787	21.0769773253	0.0001059447	0.0001059447	2.4491675187	2.7177368641331
Zfp93	1.3436339604	20.6642634463	0.0001132099	0.0001132099	2.3771755028	2.53789777665625
Aldh1a1	1.6323771678	20.618780169	0.0001140496	0.0001140496	2.3691270748	3.10023412077797
Bend6	-3.2889104428	-20.4863753696	0.0001165402	0.0001165402	2.3455658297	-9.77373807685712
Hars	0.9364408813	20.035586884	0.0001255662	0.0001255662	2.2638497052	1.91380107607481
Tom1l2	0.6493349181	20.0012448202	0.0001262903	0.0001262903	2.2575275864	1.56844497652886
Tagln2	0.3099669942	19.890384225	0.0001286653	0.0001286653	2.2370237118	1.23967933838288
Scg3	3.4120274895	19.7770326961	0.0001311536	0.0001311536	2.2159075159	10.6444351486483
Faah	-0.297467022	-19.6749623909	0.0001334479	0.0001334479	2.1967603742	-1.22898475683821
Lhx9	3.6838151887	19.4512898815	0.0001386601	0.0001386601	2.1543569274	12.8510576037895
Atp6v1f	0.3259595281	18.8674070744	0.0001535653	0.0001535653	2.0406993211	1.25349785559295
Fads2	1.9117796395	18.5915968465	0.0001613285	0.0001613285	1.9854659921	3.76272965833122
Oscar	1.7546702174	18.4978122132	0.0001640836	0.0001640836	1.9664519123	3.37449172844246
Ndufaf1	0.2524457055	18.3778193331	0.0001676981	0.0001676981	1.9419491409	1.191224808933
Pld1	-0.8324660807	-17.7928023922	0.0001868755	0.0001868755	1.8195941227	-1.78072665963596
Catsper2	0.8764942354	17.7338998032	0.0001889604	0.0001889604	1.8070017111	1.83590859856892
Neil2	3.4326601756	17.586896735	0.0001942968	0.0001942968	1.7753509674	10.7977601870892
Anapc2	0.5078976238	17.5197422852	0.0001967994	0.0001967994	1.7607847768	1.42197650103131
Hsdl2	1.8287084577	17.3612432225	0.0002028737	0.0002028737	1.7261348486	3.55218927830361
Ifngr2	0.4536950348	17.1291051951	0.0002122153	0.0002122153	1.6746893674	1.36954344737093
Pou4f2	7.7193770594	16.5450105253	0.0002383108	0.0002383108	1.5414494299	210.7482818719
Pcdh18	-1.6049089434	-16.5383903147	0.0002386297	0.0002386297	1.5399072012	-3.04176551748988
Ppic	-0.4227471987	-16.452212054	0.000242832	0.000242832	1.5197641009	-1.34047768109491
Dffa	0.6860434496	16.0253023767	0.0002651222	0.0002651222	1.4181021817	1.60886519529537
Dyrk2	-0.5909979846	-16.0241387149	0.0002651865	0.0002651865	1.4178207221	-1.50628836239445
Cml2	-0.8137490709	-15.3426312204	0.0003065864	0.0003065864	1.2487415351	-1.75777336430974
Myo1c	0.8402472808	15.3348351313	0.0003071067	0.0003071067	1.2467570541	1.79035698630738
Cdkl2	2.6733538689	15.2817396135	0.0003106808	0.0003106808	1.2332105311	6.37910430775537
Ier2	-1.1262272618	-15.2370936727	0.0003137278	0.0003137278	1.2217775693	-2.18287158578654
Crispld1	-5.1762788464	-15.1907264089	0.0003169334	0.0003169334	1.2098627452	-36.1588990405945
Tgds	0.4832017937	14.901812154	0.0003378917	0.0003378917	1.1346644518	1.39784247822717
Aldh3a2	0.7150117041	14.8504090903	0.0003418066	0.0003418066	1.1211097707	1.64149653447668
Pank1	1.2810612699	14.8222923561	0.0003439728	0.0003439728	1.1136727827	2.43017678893857
Tex36	3.4309237904	14.8044843767	0.000345354	0.000345354	1.1089541384	10.7847721389836
Tmem14c	1.1655473317	14.7389990532	0.0003504951	0.0003504951	1.0915462251	2.24318301661514
Pon3	-0.69002251	-14.5921064021	0.0003623921	0.0003623921	1.0521743519	-1.61330869028881
Acsl1	0.8802077992	14.5038116611	0.0003697951	0.0003697951	1.0282905425	1.84064039958821
H2afv	-1.8938776867	-14.385204826	0.0003800502	0.0003800502	0.9959458215	-3.71632760923367
Pdk4	2.651949842	14.3658214688	0.000381761	0.000381761	0.9906311078	6.2851616141058
Clock	-0.4701505531	-14.3616373091	0.0003821316	0.0003821316	0.989482788	-1.3852540193844
Slc16a2	-0.8692331267	-14.323802858	0.0003855038	0.0003855038	0.9790820848	-1.82669165331695
Afg3l1	0.3800354704	14.1973348444	0.0003970589	0.0003970589	0.9440889741	1.30137385089647
Hsd17b4	0.5532461758	14.0533414505	0.0004107662	0.0004107662	0.9038156025	1.46738371138338
Esr1	-2.1868872733	-14.0331832282	0.0004127337	0.0004127337	0.8981404869	-4.55322033109146
Abcc3	3.3007845573	13.9245760724	0.000423546	0.000423546	0.867405907	9.85451286878207
Dmrta1	8.147716067	13.8859886347	0.0004274756	0.0004274756	0.8564212396	283.600460903136
Dlx3	-6.0236975624	-13.806844098	0.0004356839	0.0004356839	0.8337837442	-65.0599389007624
Emg1	-2.582973384	-13.8003331538	0.0004363682	0.0004363682	0.8319149703	-5.99173319635756
Trmt1l	0.4228471997	13.7779353874	0.0004387329	0.0004387329	0.8254788109	1.34057060007691
Ppp1ca	0.2370695404	13.7466140058	0.0004420675	0.0004420675	0.816458734	1.17859621682173
Man1a2	-0.735258866	-13.7285315035	0.0004440075	0.0004440075	0.8112407839	-1.66469614278099
Kdm8	0.8241405464	13.6511702672	0.0004524328	0.0004524328	0.7888301603	1.77047999975262
Fcrl2	4.281216006	13.4355694126	0.0004770295	0.0004770295	0.7256186977	19.4434996101173
Cox7a2l	0.22884422	13.3926490159	0.0004821308	0.0004821308	0.7129004507	1.17189573733637
Gnai1	1.117537026	13.348579173	0.0004874423	0.0004874423	0.6997944885	2.1697623355
Acox1	1.9986259377	13.3303349486	0.0004896633	0.0004896633	0.6943547891	3.99619210402347
Rdh14	0.4956467063	13.1971469971	0.0005062797	0.0005062797	0.6543922391	1.40995264261149
Qtrt1	1.0831702447	13.1627595929	0.0005106878	0.0005106878	0.6440020445	2.11868666946147
Acat1	0.869949939	12.9537013792	0.0005385817	0.0005385817	0.5801845198	1.82759948231257
Coa5	0.3758804351	12.893041703	0.0005470419	0.0005470419	0.5614554247	1.29763121990257
Etv6	-1.6336845151	-12.8219901428	0.0005571711	0.0005571711	0.5393945811	-3.10304477692263
Slc25a42	0.9117570599	12.7785663432	0.0005634811	0.0005634811	0.5258459312	1.88133538418128
Pgr	4.8506926437	12.6906785959	0.0005765373	0.0005765373	0.4982694904	28.8538643351571
Faxc	-5.215857378	-12.6762907833	0.0005787118	0.0005787118	0.4937351942	-37.1646052200891
Morc1	4.8421939089	12.667667658	0.0005800201	0.0005800201	0.4910149395	28.6843895215619
Apcs	-1.2621651276	-12.6187294382	0.0005875178	0.0005875178	0.4755385446	-2.39855434495811
Igfbp7	-0.3369495411	-12.5182013068	0.0006033166	0.0006033166	0.4435412187	-1.26308308418122
Uqcrc2	0.2268851111	12.4888941967	0.0006080254	0.0006080254	0.4341603918	1.17030544058686
Pls3	-0.137771884	-12.3959864704	0.0006232704	0.0006232704	0.40426319	-1.10020463349745
Cops4	0.2369257794	12.3630772058	0.0006287886	0.0006287886	0.3936148869	1.17847877846903
Maoa	0.3766910864	12.2970930507	0.0006400442	0.0006400442	0.3721719906	1.29836056463584
Acadvl	0.6203539993	12.2336236086	0.0006511174	0.0006511174	0.3514286609	1.53725233617972
Pm20d1	-0.5010295532	-12.1525723406	0.0006656203	0.0006656203	0.3247697344	-1.41522315047582
Sdf2l1	-1.0314505032	-12.0047473565	0.0006931628	0.0006931628	0.2756515245	-2.04407835995641
Srms	-3.0896707322	-11.9831581153	0.0006973076	0.0006973076	0.2684236768	-8.51301830280871
Coro2a	4.268118576	11.9480106529	0.000704124	0.000704124	0.2566267579	19.2677816655473
Klf12	-0.8388706539	-11.9224030824	0.0007091445	0.0007091445	0.2480083741	-1.78864943342918
P2rx6	2.6888790087	11.8942714061	0.0007147132	0.0007147132	0.2385176084	6.44812185895608
Polr3gl	0.9235931641	11.8617127607	0.000721229	0.000721229	0.2275032862	1.89683365315588
Sec61b	-0.1667440375	-11.8450127356	0.0007246008	0.0007246008	0.2218412536	-1.12252224686166
Rbbp8	0.5301947068	11.7977177095	0.0007342609	0.0007342609	0.2057597858	1.44412408203528
Npr3	-1.3005112478	-11.7299792663	0.0007483882	0.0007483882	0.1826067956	-2.46316154253329
Tram1	-0.5690153479	-11.7247623574	0.0007494907	0.0007494907	0.1808177473	-1.48351071586876
Slc18a2	-0.923170227	-11.7178158592	0.000750962	0.000750962	0.1784342491	-1.89627766334403
Acaa2	1.5559968606	11.7103843825	0.0007525401	0.0007525401	0.1758826766	2.94036827433493
Nif3l1	0.8166888535	11.6986709602	0.0007550363	0.0007550363	0.1718574084	1.76135883446528
Pex19	0.7865903774	11.6740346862	0.0007603212	0.0007603212	0.1633772326	1.72499284448554
Ugcg	1.4531003696	11.6199625335	0.0007720893	0.0007720893	0.1446978288	2.73795810178151
Kpna2	-0.8330444236	-11.575121261	0.0007820271	0.0007820271	0.1291370439	-1.7814406546553
Cmpk1	-0.4662653627	-11.5688089423	0.0007834393	0.0007834393	0.1269414083	-1.38152853678934
Ift52	0.5162430632	11.4287119788	0.0008156463	0.0008156463	0.0778813095	1.43022592848608
Zfp455	0.6209235795	11.4066479397	0.0008208733	0.0008208733	0.0700967659	1.53785936769606
Erp44	-0.3450986905	-11.3120130395	0.0008437892	0.0008437892	0.0365266235	-1.27023787278209
Slc25a1	0.5945066278	11.2541327806	0.0008582127	0.0008582127	0.0158482158	1.50995612314346
Dnajc3	-0.6504036692	-11.2411448739	0.0008614928	0.0008614928	0.0111927399	-1.56960731388665
Asah2	0.842549187	11.2365908824	0.0008626468	0.0008626468	0.0095590342	1.7932158880967
Tmem120b	1.6115463555	11.1657245405	0.0008808634	0.0008808634	-0.0159538149	3.05579201984985
Aco1	0.8933427885	11.1602642085	0.0008822875	0.0008822875	-0.0179266686	1.8574749935979
Serpind1	-0.5083553832	-11.128574396	0.0008906115	0.0008906115	-0.0293964614	-1.42242775813666
Apoa4	-4.1714837082	-11.111124449	0.0008952384	0.0008952384	-0.0357269356	-18.0194579469179
Dpp6	-1.8343205932	-11.0934533995	0.0008999555	0.0008999555	-0.0421482621	-3.56603433353725
Tmem47	-0.5432530375	-11.0440484835	0.0009133149	0.0009133149	-0.0601581517	-1.457254682633
Caprin1	0.5405206142	11.0286654489	0.0009175267	0.0009175267	-0.0657830676	1.45449729581668
Bub1	-1.1245842927	-11.0049072467	0.000924081	0.000924081	-0.0744865852	-2.18038710423462
Ceacam10	-0.6490281262	-10.9931091107	0.0009273582	0.0009273582	-0.0788159941	-1.56811147912172
Ctps2	1.1995593149	10.982966274	0.0009301876	0.0009301876	-0.0825418672	2.29669505520361
Steap2	1.3052704828	10.9300416439	0.0009451334	0.0009451334	-0.102041764	2.4713005611017
Clk1	0.6267287447	10.9220482814	0.0009474176	0.0009474176	-0.1049954642	1.54405992497953
Lrrc10b	3.4156179603	10.8825988425	0.0009587953	0.0009587953	-0.1196059172	10.6709592092993
Gzmb	-0.6901798662	-10.8620759599	0.0009647841	0.0009647841	-0.1272286183	-1.61348466508795
RGD1312005	4.1745558714	10.8550765268	0.0009668377	0.0009668377	-0.1298318141	18.0578705691274
Acot7	0.8936917476	10.8147362732	0.0009787834	0.0009787834	-0.1448691466	1.85792433402066
RGD1565784	0.2635527088	10.8124909188	0.0009794539	0.0009794539	-0.1457078463	1.20043118973767
Cd276	1.3697777916	10.7410301441	0.0010011056	0.0010011056	-0.1724954549	2.58430758748643
Nampt	0.7992984624	10.7242196398	0.0010062884	0.0010062884	-0.1788239245	1.74025468923493
Sdk2	-1.1396388447	-10.7067019488	0.0010117261	0.0010117261	-0.1854295958	-2.20325861265937
Cpt2	1.2695603087	10.6667115971	0.0010242823	0.0010242823	-0.200551529	2.41088077737569
ERCC-00051	0.7372873982	10.6239968854	0.0010379167	0.0010379167	-0.2167687424	1.66703847072984
Ahcyl2	0.4148000489	10.5973632881	0.0010465366	0.0010465366	-0.2269147816	1.33311390064434
Lgals2	3.1750808437	10.5715695044	0.0010549729	0.0010549729	-0.2367660932	9.03222135908763
Zmiz2	-0.6914317838	-10.5675664238	0.00105629	0.00105629	-0.2382972026	-1.61488539529417
Snapin	0.2666516027	10.5619383387	0.0010581454	0.0010581454	-0.2404508633	1.20301247470642
Ppp1r21	-0.3354171875	-10.5502512425	0.0010620117	0.0010620117	-0.2449268788	-1.26174221703109
Pde1b	4.0593733407	10.5412982592	0.0010649858	0.0010649858	-0.2483592322	16.6722087410063
Colq	5.4545329512	10.5405721624	0.0010652275	0.0010652275	-0.248637732	43.8508514690359
Mpc1	-0.8121238172	-10.5229416807	0.0010711173	0.0010711173	-0.2554061266	-1.75579427723871
Ptk6	-2.7019941245	-10.5139893569	0.0010741241	0.0010741241	-0.258847438	-6.5070070846554
Kif18a	-1.3713031455	-10.4444747042	0.0010978462	0.0010978462	-0.2856725757	-2.58704140731636
Impa2	1.0507775178	10.421730331	0.0011057542	0.0011057542	-0.29448945	2.07164602792348
Cyp1a2	-1.4715187361	-10.4166513127	0.0011075302	0.0011075302	-0.2964610443	-2.77313670238427
Terc	-1.6485246779	-10.391980702	0.001116209	0.001116209	-0.3060518946	-3.13512872099298
Krt23	5.0870212637	10.3883609584	0.0011174898	0.0011174898	-0.3074610644	33.989594932507
Crebl2	0.5197130908	10.3872623849	0.0011178789	0.0011178789	-0.3078888401	1.43367010525524
Nr2c2ap	0.3695127855	10.3808359277	0.0011201584	0.0011201584	-0.310392185	1.29191646209678
Gla	0.26037544	10.377549973	0.0011213263	0.0011213263	-0.3116728034	1.19779037125369
Ahdc1	-0.980411697	-10.3708425157	0.0011237151	0.0011237151	-0.3142881627	-1.9730283650839
Nt5dc3	0.9604385713	10.3677330607	0.0011248247	0.0011248247	-0.3155011862	1.94590134815043
Arl8a	0.6629052131	10.3295759019	0.0011385571	0.0011385571	-0.3304171521	1.58326770562231
Chaf1b	-1.8275371458	-10.3293879398	0.0011386253	0.0011386253	-0.3304907683	-3.54930645630414
Vps37c	0.5287934727	10.3239529893	0.001140599	0.001140599	-0.3326199863	1.44272214089859
Cpeb1	-4.4031989005	-10.3152839802	0.0011437562	0.0011437562	-0.3360185775	-21.1589906145483
Acbd4	-0.650618884	-10.281384625	0.0011562111	0.0011562111	-0.3493366835	-1.56984147835784
Zfp691	0.8874403624	10.2739954638	0.001158949	0.001158949	-0.3522456631	1.84989112334543
Ndufs2	0.2161930552	10.2738701952	0.0011589955	0.0011589955	-0.3522949975	1.1616641703919
Rnf186	5.4572765736	10.2574736032	0.0011651014	0.0011651014	-0.3587577975	43.9343234755765
Fkbpl	1.0726805875	10.2452281548	0.0011696885	0.0011696885	-0.3635913207	2.10333782812361
Cdca8	-0.548783428	-10.2219532653	0.0011784715	0.0011784715	-0.3727947388	-1.46285160639244
Slc35d2	1.3265663347	10.2075380013	0.0011839538	0.0011839538	-0.3785056385	2.50805039112277
Pef1	0.5637085377	10.1684799398	0.0011989744	0.0011989744	-0.3940208964	1.47806379339131
Sbds	0.6921130128	10.1683077759	0.0011990411	0.0011990411	-0.3940894211	1.61564811125523
Smtn	-0.7125193864	-10.1671933543	0.0011994733	0.0011994733	-0.3945330116	-1.63866322668581
Flna	-0.3443021713	-10.1568945636	0.0012034769	0.0012034769	-0.3986347555	-1.26953676161471
Per3	3.4966291145	10.1169328124	0.0012191759	0.0012191759	-0.4145908731	11.2873046538536
Slc25a20	0.9784715069	10.0955981083	0.0012276653	0.0012276653	-0.4231358935	1.97037674634691
Ech1	2.4497163111	10.0803892179	0.0012337637	0.0012337637	-0.4292386587	5.46308667007403
Mir145	-1.942291232	-10.059140919	0.0012423493	0.0012423493	-0.4377805737	-3.84315518233708
Metap1d	0.7582250185	9.9908566762	0.0012704667	0.0012704667	-0.4653562776	1.69140836473334
Nnmt	0.7375063687	9.9359816907	0.0012936592	0.0012936592	-0.4876563025	1.66729151100556
Tnni3	1.8212885991	9.934302421	0.0012943775	0.0012943775	-0.488340696	3.53396707583544
Fus	0.2539040333	9.9228941771	0.0012992709	0.0012992709	-0.4929932908	1.19242955041451
Mbl2	-1.0207973554	-9.9003635339	0.0013090054	0.0013090054	-0.5021978964	-2.02904006903667
Tyro3	0.6193210256	9.8898741355	0.0013135694	0.0013135694	-0.5064904679	1.53615205314068
Zbed5	0.4205138069	9.8580717601	0.0013275328	0.0013275328	-0.519533246	1.33840413425544
Eif2b1	0.559474725	9.8028025614	0.0013522579	0.0013522579	-0.5423020937	1.4737325440635
Hmgcl	0.7892220884	9.7725871628	0.0013660259	0.0013660259	-0.5548047624	1.72814238447458
Pex14	0.4110573971	9.772124517	0.0013662381	0.0013662381	-0.5549965021	1.32966000717152
Sox17	0.4349244508	9.7698018715	0.0013673042	0.0013673042	-0.5559592424	1.35184003975248
Ccdc25	0.3209399581	9.7515491242	0.0013757189	0.0013757189	-0.5635331064	1.24914413784861
Hadhb	1.3048327786	9.7507026733	0.0013761108	0.0013761108	-0.5638846838	2.4705508984697
Agtr1a	-1.204111375	-9.7189396134	0.0013909192	0.0013909192	-0.5770999753	-2.30395314132768
Eif2b4	0.1951878898	9.7163088553	0.0013921548	0.0013921548	-0.5781964815	1.14487325378452
Axin1	-0.4200786343	-9.7133395653	0.0013935512	0.0013935512	-0.5794344489	-1.33800048070667
Gpx4	0.5724847132	9.6931044664	0.0014031155	0.0014031155	-0.5878811347	1.48708252690927
Ywhaq	0.5198027758	9.6790353648	0.0014098152	0.0014098152	-0.593764464	1.43375923199122
Cox7a2	0.3221330186	9.6777062198	0.0014104503	0.0014104503	-0.5943207238	1.25017756547766
Col14a1	-0.693265336	-9.6740902783	0.0014121799	0.0014121799	-0.5958344199	-1.61693909269189
Gpd1	1.3640483919	9.6671503954	0.001415507	0.001415507	-0.598741176	2.5740648342623
Thnsl1	1.3128755651	9.6494239769	0.0014240514	0.0014240514	-0.6061754173	2.48436227385781
Slc38a8	-3.2739293361	-9.6225166768	0.0014371484	0.0014371484	-0.6174863642	-9.67277161803748
Scd1	3.4631790217	9.581113248	0.0014576059	0.0014576059	-0.6349533992	11.0286096612792
Cbll1	0.2855189593	9.5488778618	0.0014737937	0.0014737937	-0.6486053547	1.21884862317472
Prkcdbp	0.8880094166	9.5361733745	0.0014802372	0.0014802372	-0.6539985476	1.8506209352052
Ndufa10	0.2684470206	9.5347271983	0.0014809729	0.0014809729	-0.6546129229	1.20451054229485
Psma2	0.3145618669	9.5286202042	0.0014840852	0.0014840852	-0.6572083746	1.24363391586067
Eci1	3.0126388251	9.5160656885	0.0014905097	0.0014905097	-0.6625492547	8.0703924163704
Mreg	-1.0488074266	-9.5074192003	0.0014949551	0.0014949551	-0.6662317184	-2.06881899511093
Abhd6	1.0440074615	9.4930651002	0.0015023729	0.0015023729	-0.6723524359	2.06194730178372
Esrp2	0.3285190089	9.4578200353	0.0015207885	0.0015207885	-0.6874207369	1.25572365606205
Pdia3	-0.5800255208	-9.4518794422	0.001523921	0.001523921	-0.6899660604	-1.49487569225958
Fis1	-0.3162954668	-9.4504496505	0.0015246762	0.0015246762	-0.6905789125	-1.24512921419883
Arl6ip4	0.3911535989	9.4389152843	0.0015307861	0.0015307861	-0.6955262935	1.31144163157315
P2rx4	0.8074532182	9.3994090884	0.0015519531	0.0015519531	-0.7125175176	1.75011923802645
Lrrtm3	3.0203269291	9.3888416055	0.0015576789	0.0015576789	-0.7170746091	8.11351423334289
Adgrg2	3.2221877894	9.3745022595	0.0015654919	0.0015654919	-0.7232664816	9.33200958675088
Tmem120a	0.7359878676	9.3618449449	0.0015724304	0.0015724304	-0.7287399126	1.66553753529959
Aco2	0.951600074	9.34948502	0.0015792441	0.0015792441	-0.7340918872	1.93401646089066
Aqp7	2.2524377405	9.3460018013	0.0015811712	0.0015811712	-0.735601434	4.76487292919005
Mafk	0.9299809495	9.31835296	0.0015965756	0.0015965756	-0.7476037818	1.90525083746482
Prelid2	0.5816992346	9.3175610253	0.0015970197	0.0015970197	-0.7479480839	1.49661094876568
Nol12	0.6363250259	9.290281268	0.0016124138	0.0016124138	-0.7598261211	1.55436468216572
Stat5b	-0.787624878	-9.2873236995	0.0016140943	0.0016140943	-0.7611159838	-1.72623021346166
Mlycd	0.5536019313	9.2863984064	0.0016146205	0.0016146205	-0.7615196092	1.46774559950272
Atxn10	0.4660568657	9.2691431215	0.0016244738	0.0016244738	-0.7690539561	1.38132889394439
Manf	-0.3625886604	-9.2686245945	0.0016247711	0.0016247711	-0.7692805821	-1.28573084502167
Thrsp	2.2446970109	9.2659194083	0.0016263232	0.0016263232	-0.7704631084	4.7393756343351
Abhd2	-1.7921402772	-9.2563752126	0.0016318145	0.0016318145	-0.7746379424	-3.46328299022206
Miip	0.4283429829	9.2345059787	0.0016444874	0.0016444874	-0.7842202069	1.34568709095615
Scnn1a	1.5134199526	9.2159707888	0.0016553276	0.0016553276	-0.7923593314	2.85485990870103
Hook2	1.3634086997	9.1986362158	0.001665549	0.001665549	-0.7999860016	2.5729237447388
Arglu1	-0.1579796717	-9.1917964871	0.0016696044	0.0016696044	-0.802999203	-1.11572360110653
Bard1	-0.474308543	-9.1832883086	0.0016746668	0.0016746668	-0.8067505436	-1.38925221740877
Pon1	-0.6632159008	-9.1630867584	0.0016867662	0.0016867662	-0.8156714684	-1.58360870268537
Lrig2	-0.3661716335	-9.160374375	0.0016883993	0.0016883993	-0.8168707343	-1.28892796161349
Tmem189	0.2464768102	9.1321123082	0.0017055372	0.0017055372	-0.8293876845	1.18630650850881
Vrk1	-0.320948027	-9.1136447896	0.0017168568	0.0017168568	-0.8375875326	-1.24915112425047
Pnrc1	-1.4313566726	-9.0841229072	0.0017351537	0.0017351537	-0.8507299773	-2.69700215175042
Vnn1	2.8600206732	9.0759291466	0.0017402765	0.0017402765	-0.8543851536	7.26025727815891
Slc16a12	0.4020582551	9.070344412	0.0017437792	0.0017437792	-0.856878337	1.32139176153244
Map1lc3a	0.7550847671	9.0537783522	0.0017542229	0.0017542229	-0.8642828503	1.6877307537839
Sqstm1	0.6464968697	9.0524481296	0.0017550649	0.0017550649	-0.8648780002	1.5653625875198
Gna11	0.5396788431	9.0284745432	0.0017703309	0.0017703309	-0.8756187997	1.45364888597552
Tctn1	0.6910545686	9.0100256911	0.0017821952	0.0017821952	-0.8839036047	1.61446321342626
Slc33a1	-0.364430083	-9.0052622917	0.0017852751	0.0017852751	-0.8860454241	-1.28737296991273
Psmb7	0.6494181422	9.002939725	0.0017867793	0.0017867793	-0.8870901515	1.56853545731858
Parvb	2.4193445779	8.9992250599	0.0017891885	0.0017891885	-0.8887616208	5.34927946808013
Trim3	0.4597254817	8.9664048705	0.0018106571	0.0018106571	-0.9035592509	1.37528010276205
Prickle3	0.421968518	8.9631163231	0.0018128264	0.0018128264	-0.9050449053	1.3397543664452
